x,y,z
61.799,93.014,-0.001
61.888,92.969,-0.001
61.977,92.925,-0.001
62.067,92.88,-0.001
62.156,92.835,-0.001
62.245,92.79,-0.001
62.334,92.745,-0.001
62.424,92.699,-0.001
62.513,92.654,-0.001
62.602,92.609,-0.001
62.691,92.564,-0.001
62.78,92.519,-0.001
62.87,92.474,-0.001
62.96,92.43,-0.001
63.049,92.385,-0.001
63.138,92.34,-0.001
63.227,92.294,-0.001
63.317,92.249,-0.001
63.406,92.204,-0.001
63.495,92.159,-0.001
63.584,92.114,-0.001
63.673,92.068,-0.001
63.762,92.022,-0.001
63.85,91.976,-0.001
63.939,91.929,-0.001
64.028,91.884,-0.001
64.117,91.838,-0.001
64.206,91.792,-0.001
64.294,91.745,-0.001
64.383,91.699,-0.001
64.471,91.653,-0.001
64.56,91.606,-0.001
64.648,91.56,-0.001
64.737,91.514,-0.001
64.827,91.468,-0.001
64.915,91.421,-0.001
65.004,91.375,-0.001
65.092,91.329,-0.001
65.181,91.283,-0.001
65.269,91.237,-0.001
65.358,91.191,-0.001
65.447,91.145,-0.001
65.535,91.098,-0.001
65.624,91.052,-0.001
65.713,91.006,-0.001
65.802,90.959,-0.001
65.89,90.913,-0.001
65.979,90.867,-0.001
66.068,90.821,-0.001
66.156,90.774,-0.001
66.245,90.729,-0.001
66.333,90.682,-0.001
66.421,90.636,-0.001
66.511,90.589,-0.001
66.599,90.543,-0.001
66.688,90.496,-0.001
66.776,90.45,-0.001
66.865,90.403,-0.001
66.953,90.356,-0.001
67.041,90.31,-0.001
67.13,90.263,-0.001
67.218,90.217,-0.001
67.308,90.17,-0.001
67.396,90.124,-0.001
67.484,90.078,-0.001
67.573,90.031,-0.001
67.661,89.985,-0.001
67.75,89.938,-0.001
67.838,89.892,-0.001
67.927,89.845,-0.001
68.015,89.799,-0.001
68.104,89.752,-0.001
68.193,89.706,-0.001
68.281,89.659,-0.001
68.37,89.613,-0.001
68.458,89.566,-0.001
68.547,89.52,-0.001
68.635,89.474,-0.001
68.724,89.428,-0.001
68.812,89.381,-0.001
68.901,89.335,-0.001
68.99,89.288,-0.001
69.078,89.241,-0.001
69.167,89.195,-0.001
69.255,89.148,-0.001
69.343,89.102,-0.001
69.432,89.055,-0.001
69.52,89.009,-0.001
69.609,88.962,-0.001
69.698,88.916,-0.001
69.787,88.869,-0.001
69.875,88.823,-0.001
69.963,88.777,-0.001
70.052,88.73,-0.001
70.14,88.684,-0.001
